k=5 type 31: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 1, -1, 0], [1, 0, 1, -1, 0])
k=5 type 32: YES ([0, 0, 0, 0, 1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, -1, 1], [1, 0, 0, 0, 0])
k=5 type 33: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, -1, 1, -1, 0], [1, 0, 0, 0, 0])
k=5 type 34: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, -1], [1, 0, 0, 1, -1])
k=5 type 35: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, -1], [1, 0, 0, 1, -1])
k=5 type 36: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 0, 1], [1, -1, 0, 1, -1], [1, 0, 0, 0, 0])
k=5 type 37: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 38: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 39: YES ([0, 0, 0, 0, 1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, -1, 1], [1, 0, 0, 0, 0])
k=5 type 40: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 0, 1], [1, -1, 0, 1, -1], [1, 0, 0, 0, 0])
k=5 type 41: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 42: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, -1, -1, 1, 0], [1, 0, 0, 0, 0])
k=5 type 43: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, -1], [1, 0, 0, 1, -1])
k=5 type 44: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 45: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, -1], [1, 0, 0, 1, -1])
k=5 type 46: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, -1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 47: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 48: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 49: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, -1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 50: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 51: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 52: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 53: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 54: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 55: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 56: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, -1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 57: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 58: YES ([0, 0, 0, 0, 1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, -1, 0], [1, 0, 0, 0, -1])
k=5 type 59: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 0, 1], [1, -1, 0, 1, -1], [1, 0, 0, 0, 0])
k=5 type 60: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 61: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, -1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 62: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 63: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 64: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 65: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 66: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 0, 1], [1, -1, 0, 1, -1], [1, 0, 0, 0, 0])
k=5 type 67: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 68: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 1, -1], [1, -1, 0, 0, 0], [1, 0, 0, 1, -1])
k=5 type 69: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, 0], [1, 0, 0, 1, 0])
k=5 type 70: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 1, 0, 0], [1, 0, 1, 0, 0])
k=5 type 71: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 1, -1, 0], [1, 0, 1, -1, 0])
k=5 type 72: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 1, -1, 0, 1], [0, 1, 0, -1, 1], [1, 0, -1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 73: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, -1], [1, -1, 0, 0, 1], [1, 0, 0, 0, 0])
